2.185714285714285765e+01,2.185714285714285765e+01,0.000000000000000000e+00
2.185714285714285765e+01,2.700000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+01,2.394871794871794890e+01,1.000000000000000000e+00
2.394871794871794890e+01,2.287179487179487225e+01,1.000000000000000000e+00
2.287179487179487225e+01,2.538461538461538680e+01,1.000000000000000000e+00
2.538461538461538680e+01,2.592307692307692335e+01,1.000000000000000000e+00
2.592307692307692335e+01,2.125641025641025550e+01,1.000000000000000000e+00
2.125641025641025550e+01,2.161538461538461675e+01,0.000000000000000000e+00
2.161538461538461675e+01,2.466666666666666785e+01,0.000000000000000000e+00
2.466666666666666785e+01,2.089743589743589780e+01,0.000000000000000000e+00
2.089743589743589780e+01,2.646153846153845990e+01,0.000000000000000000e+00
2.646153846153845990e+01,2.233333333333333215e+01,1.000000000000000000e+00
2.233333333333333215e+01,2.341025641025640880e+01,1.000000000000000000e+00
2.341025641025640880e+01,2.143589743589743435e+01,0.000000000000000000e+00
2.143589743589743435e+01,2.358974358974359120e+01,1.000000000000000000e+00
2.358974358974359120e+01,2.323076923076922995e+01,1.000000000000000000e+00
